net-name	net-id	site-name	site-id	pi	one-clicks	uc	qc
RMSI	498868272	dasbootsmagazin.com	2020715779	116579	15613	24585	1088
Hi-Media	2000907398	splash-mag.de	2058066009	19016	8234	10696	5449
SevenOne Media	1272195681	dr-gumpert.de	2127538548	451373	128720	191951	109530
ARBOmedia_RO	940807539	agf.ro	17457436	20694	1536	2767	909
glammedia	235681100	a3-freunde.de	19391797	215207	67569	82504	27250
Hi-Media	2000907398	stayfriends.de	20247183	472	117	186	117
Omnimedia	1629972935	immoscout24.ch/it	73726576	137070	33516	41108	6406
medienhaus.com	435938190	vol.at	85659191	3650479	706476	923867	154543
LPM_Lagardere	2039924353	LPM_Lagardere_premiere	137414346	4478781	1743461	2322159	845036
IP-Deutschland	2059506885	rtl2.de	153324718	739690	158691	267007	111795
webads.it	1609693476	menshealth.it	178084493	69478	16113	21418	4474
OMS	1615459509	doebelner-allgemeine.de	213755454	23377	7726	11264	3641
OMS	1615459509	isar-tv.com	226471198	3237	400	634	163
Hi-Media	2000907398	flughafen-frankfurt.de	231160047	661486	128549	200221	68325
Viasat.dk	1968309073	onside.dk	296288730	1632342	741159	809122	52472
BauerMediaKG	626259911	astrowoche.wunderweib.de	311294864	2425481	444406	562880	91726
BEI_container_CEE	53552772	Excedrin.pl	319043117	6504	2668	3771	2794
Purpur Media	832539073	urbia.at	341126346	23758	6421	8205	2131
glammedia	235681100	dallach.de	368486581	10521	4046	5282	2665
ARBOmedia_PL	651342010	insomnia.pl	370809219	361621	109466	133894	81259
Clipkit	1934213317	netzkino.de/clipkit	375287822	2224112	83141	174327	67503
LPM_LeFigaro	627225677	LPM_LeFigaro_madame	406531702	4695519	1329905	1564013	290513
ARBOmedia_PL	651342010	pracuj.pl	513235107	2448053	202127	576911	413882
JP.dk	160495700	guide.dk	527785437	45463	23909	29447	12094
glammedia	235681100	stylished.de	528652341	42498	9570	12215	2272
ARBOmedia_PL	651342010	BEI_holidaycheck.pl	573732995	28834	11143	16073	8014
RMSI	498868272	rockland-digital.de	576926457	2024	692	994	408
ARBOmedia_PL	651342010	kuchcik.info	582237731	45	25	35	5
glammedia	235681100	derkarl.net	590062933	59	30	39	18
ENED_Attica	398373777	tophotels.gr	597678234	3116	264	511	338
OMS	1615459509	abendzeitung.de	629820478	87	0	2	2
HTTPool_BG	1782510139	kafene.bg	693536484	5767	2360	3068	1869
24media	832047503	sport24.gr	711701688	10588987	803123	1265584	395447
glammedia	235681100	leidersteil.at	728183349	151	19	35	29
ARBOmedia_PL	651342010	TELEdyski.info	793817539	3775993	123675	454987	278397
HTTPool_CR	70372471	klik.hr	814545248	12874	2466	3733	932
ARBOmedia_PL	651342010	pun.pl	817901667	104593	11544	19645	9588
beead	104260390	fpfrance	833725295	49433	7963	13689	3945
Hi-Media	2000907398	kfz.de	897248207	28739	13274	17370	8398
ARBOmedia_PL	651342010	kumpello.pl	908749123	1559201	68691	85961	6391
Hi-Media	2000907398	jazzecho.de	928327791	25048	9842	12806	4497
Berlingske.dk	706025601	dagbladetringskjern.dk	946618538	41550	14186	17618	4769
Clipkit	1934213317	juice.de/clipkit	974989806	173	114	135	67
Clipkit	1934213317	myvideo.de_inStream/clipkit	979581198	245216	114130	131479	27119
HTTPool_BG	1782510139	autoblog.bg	1019320612	2605	714	1036	522
glammedia	235681100	shefinds.com	1031915797	155	3	21	6
freeXmedia	1516487384	pcaction.de	1032747649	11203	2488	4022	1509
glammedia	235681100	mymirrorworld.com	1054542165	1198	699	818	289
glammedia	235681100	huettenhilfe.de	1061333301	14373	7080	8696	4122
freeXmedia	1516487384	4wheelfun.de	1076944417	349194	82528	105517	22129
HTTPool_SI	1826838282	kolosej.si	1077972147	5	1	2	1
IP-Deutschland	2059506885	n-tv.de	1083198990	16258021	3841905	5083917	883072
ARBOmedia_PL	651342010	sdcv.pl	1102407331	21964	3582	5519	3477
Goldbach Media	177654511	hotels-and-more.ch/de	1137770808	293	223	242	50
ENED_24Media	752387581	redplanet.gr/ENED	1206758598	1564157	59872	136049	63094
Goldbach Audience	2137767787	gameone.de-ch	1222289108	20137	2445	3827	1154
ENED_DOL	212246380	vita.gr	1248134357	251923	86328	117309	70536
Unister	2020431744	reisen.de	1256670793	1176760	267639	405637	196256
AbcStartsiden_NO	1974373083	udgaendelinks.no	1265236100	1104868	115686	248415	97653
OMS	1615459509	derwesten.de	1277318654	8868651	1527790	2017846	494290
glammedia	235681100	posh24.de	1283658581	40971	22299	26006	10049
Hi-Media	2000907398	universal-music.de	1296154735	697695	261510	358736	142903
HTTPool_BG	1782510139	diploma.bg	1316821572	1132	607	758	487
beead	104260390	rireetchansons	1328545391	17570	4994	7554	1377
Smartclip	35854137	gmx.de/smartclip	1357228866	1505065	318460	624628	268430
stroeer_digital_media	571289945	neu.de	1360101186	11377607	1305259	1416682	54198
OMS mobile	2119689184	fnp.de	1398284105	40921	11187	17060	10868
glammedia	235681100	code5.de	1430860981	1504	405	612	316
BEI_container_Post	1253937408	roseversand-besteller.de	1432181225	4748	4076	4356	2109
Smartclip	35854137	videofyme/smartclip	1438873730	1105	464	640	337
freeXmedia	1516487384	starcliptv.de	1463885761	7131	1486	2793	1178
ARBOmedia_PL	651342010	Twojeporady.pl	1479537091	2716	1322	1715	1054
stroeer_digital_media	571289945	deine-tierwelt.de	1506382626	9	1	2	1
ARBOmedia_PL	651342010	kobieta.pl	1535349827	460089	83428	120838	75059
BEI_container_Post	1253937408	roseversand-bekleidung.de	1562303145	217521	52663	68894	15566
stroeer_digital_media	571289945	juraforum.de	1581015682	699647	278347	398872	187533
freeXmedia	1516487384	mymoneytv.de	1597013217	22	16	19	6
OMS	1615459509	rhein-main.net	1603035198	48070	12377	17535	5730
OMS	1615459509	elbe-wochenblatt.de	1611165278	31922	10322	13975	5393
Goldbach Audience	2137767787	radin.ch/de	1626575412	26266	1402	1987	298
Goldbach Media	177654511	comedycentral.de-ch	1631829208	289	98	150	36
ARBOmedia_PL	651342010	superlastminute.pl	1632145187	2953	700	1274	402
derstandard.at	1072017547	derstandard.at	1660588788	9805210	2361311	2811658	416861
Berlingske.dk	706025601	spilop.dk	1686318378	43625	961	2307	898
OMS	1615459509	gelnhaeuser-tageblatt.de	1689236094	14650	3962	5806	1822
TripleDoubleU	1704466471	deutsche-staedte.de/triple	1716063152	4196	1730	2087	514
glammedia	235681100	gulasch-rezepte.de	1720910101	1841	485	738	323
ENED_Capital	2008089533	capitalhealth.gr	1744795238	33936	13263	18849	12502
LPM_LeFigaro	627225677	LPM_LeFigaro_scope	1809759670	279253	146604	178103	65816
RMSI	498868272	spreeradio.de	1877493817	19176	6266	8758	3333
ARBOmedia_PL	651342010	e-inzynier.com	1888303715	1029	184	533	45
SevenOne Media mobile	126188777	gamepro.de	1890797714	256202	35846	67075	42711
OMS mobile	2119689184	infranken.de	1899888329	262603	52736	85249	52861
stroeer_digital_media	571289945	qype.com	1926824098	64	26	36	17
RMSI	498868272	radiowestfalica.de	1953969657	23526	4820	7921	3016
OMS	1615459509	hertener-allgemeine.de	1955640062	1284	611	794	256
NO-BEI_CONTAINER	341185526	BEI-sas.no	1985618719	255590	93116	128983	33975
webads.it	1609693476	OLIMPIAZZURRA.it	2097285837	15102	6488	8074	2484
glammedia	235681100	redcarpethell.com	2141329749	45	31	35	10
glammedia	235681100	burlesque-fashion.de	67701677	2509	1169	1527	523
N24.se	1403231093	Elitprospects.com	76461430	2585513	708339	821071	79807
Styria	1995838100	grazer.at	102163765	16861	2744	3892	814
Hi-Media	2000907398	einfachtierisch.de	133317415	299372	99211	130884	56136
webads.it	1609693476	gohome.it	176619109	153841	41183	61782	22606
ARBOmedia_PL	651342010	MojeGry.pl	188744667	8915	2289	3829	2788
glammedia	235681100	modelvita.com	232892493	5634	2628	3192	1428
glammedia	235681100	chez-theresa.tumblr.com	233337677	2149	732	929	248
beead	104260390	agoravox.fr	252457351	501171	192646	247454	109695
mediasports	963038854	kicktipp	302338855	9733470	2037255	2613197	385366
ARBOmedia_RO	940807539	eformulare.ro	305065876	1156	230	425	200
ARBOmedia_RO	940807539	ginecologie.ro	307213908	3277	1090	1732	1164
Goldbach Audience	2137767787	parentsolo.ch/de	312300076	605	20	44	27
Smartclip	35854137	viewster.tv/smartclip	357827130	81606	7039	12295	4660
ENED_24Media	752387581	iphonehellas.gr/ENED	366966462	243687	48295	63069	20513
Jubii.dk	224986932	qxl.dk	393207093	2522377	329424	386158	48787
IP-Deutschland	2059506885	entertainweb.de	419755078	29267	15078	18779	8525
ARBOmedia_PL	651342010	zadajpytanie.pl	422710971	13572	7759	9613	6609
freeXmedia	1516487384	reittv.de	436300633	670628	22262	36831	7390
DK-BEI_CONTAINER	896712678	BEI-kia.dk	438905351	113	86	91	16
OMS	1615459509	stimmt.de	465313430	9993	3916	5077	2331
smartclip_italy	1471916694	corrieredellosport.it	495272247	51733	35124	41795	22633
LPM_Lagardere	2039924353	LPM_Lagardere_rfm	497100802	132238	47475	68463	28659
OMS	1615459509	landshuter-zeitung.de	527575254	5062	551	873	362
ARBOmedia_PL	651342010	Jebzdzidy.pl	539939675	4878433	52926	352341	229781
DK-BEI_CONTAINER	896712678	BEI - AVT Business School	637976199	2626	1071	1293	197
smartclip_italy	1471916694	videojug.it	682312311	4067	1785	2300	986
Smartclip	35854137	webfail/smartclip	697423514	5974	4374	5004	3351
glammedia	235681100	stadt-land-mama.de	698431533	13372	6346	7485	1418
TripleDoubleU	1704466471	findling.de	726151400	54503	5674	8977	2683
SevenOne Media MAGIC (3rd party Video)	842055044	sport1.de	735678085	413946	108712	192880	106142
HTTPool_CR	70372471	teen385.com	767288888	5654	3250	3911	1397
RMSI	498868272	107.7radiohagen.de	806783505	34313	6664	10148	3143
OMS	1615459509	frankenpost.de	814490262	371201	67662	101729	31370
ENED_DOL_mobile	1751458589	imommy.gr	823410494	78638	18219	29783	17623
Goldbach Audience	2137767787	burnout-info.ch	854916908	8723	2712	3834	1141
SevenOne Media MAGIC (3rd party Video)	842055044	Tier.tv	863340933	501536	98940	172708	118015
Goldbach Audience	2137767787	radiofm1.ch	867998508	76462	33397	41611	8112
ENED_Naftemporiki	1400476319	naftemporiki.gr	889780480	4007396	248667	411784	167763
RMSI	498868272	welleniederrhein.de	910674097	23270	3264	6224	2416
ARBOmedia_RO	940807539	practicmagazin.ro	925449556	161971	36001	62391	31980
OMS	1615459509	berliner-kurier.de	941010454	622593	177477	241699	91250
RMSI	498868272	bigfm.de	942049329	480600	82464	131252	41618
HTTPool_UA	1388958105	avtomagazine.ua	972930106	66273	3395	6707	3253
LPM_CentreFrance	1468130688	LPM_CentreFrance_lechorepublicain	991504673	588599	69182	112041	35202
Hi-Media	2000907398	klassikakzente.de	1033022983	1	1	1	1
glammedia	235681100	cheat4speed.de	1054914189	535	193	284	186
Goldbach Audience	2137767787	moneyhouse.ch/fr	1058173196	539765	98947	163903	54755
TripleDoubleU	1704466471	steuerlinks.de	1078628040	61	49	54	31
glammedia	235681100	ps3-forum.de	1108300109	62071	32580	41479	20905
Clipkit	1934213317	bigpoint.com/clipkit	1133866182	114166	23134	41295	23917
Smartclip	35854137	sponsorpaybigpoint/smartclip	1141442490	1495814	124603	299324	175827
ASMI	1569905102	eatsmarter.de	1142136495	1099010	377399	486795	167720
RMSI	498868272	jackfm.de	1151494449	3612	434	981	310
Styria	1995838100	kleinezeitung.at	1173552277	2523958	513802	704622	201307
LPM_Lagardere	2039924353	LPM_Lagardere_europe1	1180864610	6129853	1441261	2036899	700807
Goldbach Audience	2137767787	travel24.ch	1191185132	80233	20258	26172	6107
OMS	1615459509	esslinger-zeitung.de	1225196662	118478	23381	35566	11812
ARBOmedia_PL	651342010	weselnybox.pl	1256904411	347531	32592	65423	46480
ARBOmedia_PL	651342010	JOBS.pl	1257341979	68313	18917	28323	19803
glammedia	235681100	funfire.de	1285374029	226957	24485	30718	5945
glammedia	235681100	berriesandpassion.com	1296911341	13852	5553	6744	1326
OMS	1615459509	usinger-anzeiger.de	1297582166	27931	6499	9332	2492
BauerMediaKG	626259911	shape.de	1341194888	714716	210495	256767	54946
BEI_container_Post	1253937408	frank-flechtwaren.de	1373490817	453640	58277	71998	10735
ENED_Teletypos_mobile	1688009324	megatv.com	1378494349	441586	32547	88458	52678
ASMI	1569905102	wand-und-beet.de	1405369519	41484	19432	24510	10637
HTTPool_RO	651835008	gapo.ro	1409035009	4605	1106	1476	393
stroeer_digital_media	571289945	gehalts-check.de	1428530906	374606	99545	166848	82190
IP-Deutschland	2059506885	rtl-now.rtl.de	1441718982	14375964	1457590	2397112	691680
ARBOmedia_PL	651342010	ww.media.pl	1514363707	33253	5941	11115	7548
glammedia	235681100	handarbeitsfrau.de	1531132461	78356	32567	43468	22295
OMS mobile	2119689184	dorstenerzeitung.de	1543945633	18867	3672	6350	4313
beead	104260390	passetoncode	1570227719	8011	2622	3823	2048
SevenOne Media MAGIC (3rd party Video)	842055044	pcgames-videovalis.tv	1572396581	245041	112961	146441	103805
freeXmedia	1516487384	handballecke.de	1576032793	1	1	1	1
beead	104260390	automobile-sportive.com	1659203911	4268	1489	2304	1160
SevenOne Media MAGIC (3rd party Video)	842055044	content1.de	1659596453	135866	3276	7540	1989
iqdigital	223088769	spektrum.de	1688330050	342354	136134	174719	72553
LPM_GMC	1997387604	LPM_GMC_marieclaireidees	1714834773	377530	80775	126883	46262
HTTPool_BG	1782510139	kaldata.com	1766110396	269877	40612	78255	34569
stroeer_digital_media	571289945	wetternet.de	1768583802	9808	1614	2752	857
ENED_Attica	398373777	yupiii.gr	1805790162	1022021	78008	143241	66915
BEI_container_Post	1253937408	dhl.com	1835422529	217	48	77	28
beead	104260390	hockeyhebdo	1864968487	93149	26113	32935	6481
OMS	1615459509	top100station.de	1869535126	62269	23286	28783	5064
ARBOmedia_PL	651342010	BiznesNet.pl	1873153947	1385	884	1074	478
Unister	2020431744	fluege.de	1878112129	4904614	1123949	1806345	631352
OMS mobile	2119689184	halternerzeitung.de	1915188321	8404	1349	2378	1551
OMS	1615459509	reviersport.de	1925844438	4176	1106	1628	650
BEI_container_fr	671344375	LMG	1949146552	6355	2001	3313	1673
ASMI	1569905102	autobild.de	1967677935	3622253	881321	1314713	507233
ENED_Autotriti_mobile	278453283	autotriti.gr	2000364484	104568	8310	18643	10646
iq_digital_mobile	480104072	mobil.handelsblatt.com	2078786185	1163163	59482	164690	126778
stroeer_digital_media	571289945	evo-cars.de	2110928570	109704	42931	52020	13250
glammedia	235681100	hon-fans.de	2146178989	5810	625	1122	694
Omnimedia	1629972935	jobscout24.ch/de	293651	979555	177328	243531	52691
SevenOne Media	1272195681	ampya.com	6837997	234472	59174	92367	59641
OMS	1615459509	wolfsburger-nachrichten.de	16181281	104626	27892	38071	12095
OMS mobile	2119689184	pz-news.de	29288300	52175	4152	9356	5938
ARBOmedia_PL	651342010	bezposrednie.com	35113126	15258	1688	3227	1815
HTTPool_BG	1782510139	zdravnitza.com	38119975	198656	61331	91860	59502
OMS	1615459509	morgenweb.de	67688769	614845	150897	211827	70447
ENED_Phaistos Networks	682513718	pathfinder.gr	95115650	1141144	98642	190068	105672
RMSI	498868272	classical102.de	112386684	411	176	224	44
ARBOmedia_PL	651342010	arslege.pl	119943878	89610	21007	32240	21338
TripleDoubleU	1704466471	online-translator.com	194183027	51	7	10	5
glammedia	235681100	piecesofmariposa.com	229630392	1111	584	711	159
N24.se	1403231093	matklubben.se	295814849	514990	202951	253265	43631
beead	104260390	notre-planete	304731090	5	3	4	1
glammedia	235681100	addictedtofashion.net	333833720	36164	16581	18718	2527
ARBOmedia_PL	651342010	scenka.pl	345188934	432	183	283	45
freeXmedia	1516487384	motorsport-aktuell.com	367455044	32507	9456	14537	5479
glammedia	235681100	fruchtbare-tage.com	388093656	221787	68221	88706	22578
TripleDoubleU	1704466471	deutsches-architektur-forum.de	392168851	15	1	2	1
ASMI	1569905102	morgenpost.de	424582714	1140594	377084	497670	197365
Styria	1995838100	meinbezirk.at	430814688	1533966	298088	390831	127036
MSN	2072193066	weltderwunder.de.msn.com	435970422	1241573	89759	148053	61420
ENED_24Media	752387581	sport24.gr/ENED	446357225	9735060	387924	819203	362620
N24.se	1403231093	basketsverige.se	457894369	36478	13356	16283	2070
ARBOmedia_CZ	1534363118	zing.cz	485398714	292802	22890	42300	17075
Goldbach Audience	2137767787	music.ch	491235351	50259	10694	13108	1549
beead	104260390	laventerapide	513340914	4915	1270	2112	851
Hi-Media	2000907398	frankfurt-airport.com	526275442	123909	33818	49240	8735
OMS mobile	2119689184	kreis-anzeiger.de	552936684	6645	1577	2403	1299
OMS mobile	2119689184	stuttgarter-zeitung.de	573306092	517745	59943	104305	67302
ENED_Attica	398373777	madamefigaro.gr	655156125	125824	10743	19917	10954
ARBOmedia_CZ	1534363118	avizo.cz	695519834	21635	1	4344	0
ARBOmedia_PL	651342010	admeta_container	706616326	53	13	21	11
glammedia	235681100	mondkalender-online.de	731615896	152177	41179	58864	18719
OMS	1615459509	hamburger-wochenblatt.de	776055937	31989	12509	16356	6592
glammedia	235681100	liebesbotschaft.blogspot.com	810102520	54	17	26	13
freeXmedia	1516487384	winfuture.de	810971588	993749	236542	339926	97221
glammedia	235681100	freegames24.de	828238488	11281	1668	3652	1810
Berlingske.dk	706025601	folkebladetlemvig.dk.Berlingske	856911757	14825	5228	6397	1607
ENED_Phaistos Networks_mobile	1920031208	bestprice.gr	860992692	184385	15016	35168	20139
HTTPool_BA	1063940109	jabuka.tv	864511449	154089	16698	30139	11954
OMS	1615459509	rhein-zeitung.de	864977569	880794	216199	307529	102480
Goldbach Audience	2137767787	mtv.ch/de	881895063	57877	11766	16400	3547
SevenOne Media MAGIC (3rd party Video)	842055044	de.wikia.com	906739120	6627	1939	2515	1286
LPM_GMC	1997387604	LPM_GMC_eureka	926574336	744033	273257	366568	165093
stroeer_digital_media	571289945	ferien.de	957440549	84985	15556	22076	5348
glammedia	235681100	backenmachtgluecklich.de	965850904	5298	2773	3473	1553
freeXmedia	1516487384	motor-klassik.de	971818372	314903	73676	95168	23509
OMS	1615459509	dattelner-morgenpost.de	994325057	235	129	159	34
ARBOmedia_PL	651342010	patrz.pl	1067886598	207973	44870	79474	41439
ARBOmedia_RO	940807539	realitateabihoreana.ro	1097514975	451	181	246	131
ENED_24Media	752387581	techgear.gr/ENED	1102479049	132707	35974	55159	33005
Smartclip	35854137	metatube/smartclip	1123899013	7815	3341	4409	2201
medienhaus.com	435938190	laendleauto.at	1136802298	143050	19159	24129	3838
ENED_24Media	752387581	livescores.gr/ENED	1191937513	3012	591	924	549
ENED_Attica_mobile	2111071951	playboy.gr	1210174971	3326	310	831	306
ARBOmedia_CZ	1534363118	estav.cz	1220147674	37848	12073	17717	7517
beead	104260390	ibuzzyou	1242699026	45450	17359	23868	3534
ARBOmedia_RO	940807539	price.ro	1252380511	1313283	96965	240858	102066
Krone.at	1129772991	sendung/kino	1258161483	22249	5577	9822	6086
OMS mobile	2119689184	stuttgarter-nachrichten.de	1341137292	314546	32858	58763	37796
ENED_24Media_mobile	659279516	dailymotion.com/gr/ENED	1353828616	73767	11445	21432	12216
ARBOmedia_PL	651342010	panoramaleszczynska.pl	1372906246	12867	3061	5357	3050
RMSI	498868272	radiosauerland.de	1385106300	17069	3849	5909	1942
ARBOmedia_RO	940807539	25h.ro	1386797439	25508	2122	3235	1030
Smartclip	35854137	IM_sport	1405922949	6274820	547020	750517	160474
N24.se	1403231093	blogg.se	1457926401	1339432	677248	819050	152136
TripleDoubleU	1704466471	autoaid.de	1460081619	35837	14053	18300	7916
DK-BEI_CONTAINER	896712678	BEI-hi3g.dk	1481260434	72235	21962	32067	10752
OMS	1615459509	dorstenerzeitung.de	1543945633	97801	24032	34567	9899
ARBOmedia_PL	651342010	gieldowe.pl	1579442726	783	300	463	150
SevenOne Media MAGIC (3rd party Video)	842055044	finanzfernsehen.de	1594422128	268385	49060	85646	60860
BEI_container_Post	1253937408	maingau-energie.de	1624843948	22817	2688	5553	2049
yahoo	796370964	aol.de	1718225088	8878281	1064171	2097738	641809
ARBOmedia_PL	651342010	maxmix.pl	1727613542	26554	2647	6475	2208
freeXmedia	1516487384	autoextrem.de	1736376868	98304	48508	63701	31907
Styria	1995838100	autokralle.at	1794924736	21099	3269	5322	2437
stroeer_digital_media	571289945	winterreisen.de	1795861189	10403	3923	5496	1944
Hi-Media	2000907398	jazzthing.de	1803988690	5253	1724	2329	639
stroeer_digital_media	571289945	rtv.de.sdm	1829951973	60	13	16	7
LPM_CentreFrance	1468130688	LPM_CentreFrance_lepopulaire	1880010348	493255	103014	138208	43415
Smartclip	35854137	supersonicads/smartclip	1882909893	147972	94306	107850	74093
Smartclip	35854137	DE_thewest/smartclip	1888267461	103	41	61	41
glammedia	235681100	stylinrooms.de	1910706712	76123	26600	31338	5209
OMS	1615459509	halternerzeitung.de	1915188321	42693	10877	15508	4488
glammedia	235681100	wir-lieben-pferde.de	1960986488	10272	3985	4742	2308
ARBOmedia_PL	651342010	Queer.pl	2016918982	1425774	83244	114623	40399
24media	832047503	livescores.gr	2024299931	4753	1353	1820	717
ARBOmedia_PL	651342010	filmoholicy.pl	2039764102	18992	5117	6784	3622
ENED_Capital	2008089533	capital.gr	2072504969	6367934	250540	412658	149549
freeXmedia	1516487384	soccerdonna.de	2086690340	22585	4806	6410	1798
de.yahoo.com	1154829101	de.yahoo.com	2133766681	16301381	4333689	5963675	2202928
RMSI	498868272	radiosaw.de	13060509	48364	9700	17421	8313
OMS	1615459509	lokalkompass.de	20298146	1236445	260229	349360	132664
HTTPool_BG	1782510139	blog.bg	25307176	696015	198487	261948	131935
