net-name	net-id	site-name	site-id	pi	one-clicks	uc	qc
BEI_container_Post	1253937408	westfalia.de	1953672427	31	16	20	12
yahoo	796370964	aol.com	1972539487	292	21	33	19
RMSI	498868272	radioenneperuhr.de	1992219739	22961	5187	8220	3069
glammedia	235681100	packtsan.de	2053590327	2207	1497	1701	725
stroeer_digital_media	571289945	rallye-magazin.de	2057612708	421146	74383	91387	13211
glammedia	235681100	linamallon.de	2097095511	31153	10894	13721	2474
Hi-Media	2000907398	btv.de	2108380977	3679	932	1410	586
SevenOne Media mobile	126188777	dr-gumpert.de	2127538548	233170	87153	122950	71163
freeXmedia	1516487384	spielefilmetechnik.de	2131817731	20556	8003	11260	4254
OMS	1615459509	aller-zeitung.de	2134546336	2	2	2	0
HTTPool_BA	1063940109	banjalukalive.com	24392144	252060	39859	65585	28557
Informedia_Hu	2088469162	csaladvilag.hu	51123757	62461	24305	33625	12821
ARBOmedia_PL	651342010	epuls.pl	73734397	360454	9498	16106	7428
beead	104260390	365comedies.com	107101257	1273	242	415	146
stroeer_digital_media	571289945	alsfelder-allgemeine.de	107946908	33745	3565	5858	1409
RMSI	498868272	antennemv.de	140061971	18915	4043	7041	3305
Omnimedia	1629972935	autoscout24.ch/de	149786410	16766377	2748975	3068064	172897
Goldbach Audience	2137767787	teleticino.ch	161232302	29382	6793	9748	2407
OMS mobile	2119689184	mobil.westfaelische-nachrichten.de	161541635	156696	4895	14440	9420
smartclip_italy	1471916694	videofyme.it	178391097	46	41	43	27
ARBOmedia_RO	940807539	copilulmeu.ro	190294358	13697	5265	6653	3375
OMS	1615459509	marktspiegel.de	191836920	34457	8084	9716	1962
TripleDoubleU	1704466471	joinmytrip.de	267878730	65851	15111	18153	3052
stroeer_digital_media	571289945	hallo-eltern.de	272093244	468384	183381	230001	72582
beead	104260390	nostalgie	298324521	32001	9424	13979	3284
Hi-Media	2000907398	beautyboard.de	306108105	129931	58090	65682	21598
Hi-Media	2000907398	rockhard.de	332893769	289334	57477	73949	16050
ENED_DOL	212246380	marieclaire.gr	340646863	191000	49419	71012	35618
freeXmedia	1516487384	del.org	366232027	6	4	5	3
medienhaus.com	435938190	austria.com	385248753	1325	707	844	375
Goldbach Audience	2137767787	nick.ch	391098062	235375	48407	58882	7649
glammedia	235681100	beautyblog.ch	401371055	1511	577	937	212
Goldbach Audience	2137767787	inside-it.ch	450136686	36733	10794	15367	5724
LPM_Doctissimo	1593068789	LPM_Doctissimo_doctissimo	477571000	17640135	5221931	6756107	2186225
LPM_Publihebdos	919835570	LPM_Publihebdos_publihebdos	482011541	1370357	497523	658647	269324
Goldbach Media	177654511	viva.tv/goldbach	521624242	2	2	2	2
beead	104260390	programme	553927817	60748	13354	24873	11008
glammedia	235681100	bluray-dealz.de	682675663	93799	20063	24343	2137
beead	104260390	rummyworld	701977993	1685	171	272	99
yahoo	796370964	lastfm.de	719253591	1342170	340912	459363	156315
beead	104260390	play3-live	756867241	5881	3769	4445	1553
webads.it	1609693476	wiitalia.it	766527815	55181	14285	17832	4273
LPM_FranceTV	1003426551	LPM_FranceTV_france4	815690618	198633	69542	94272	40249
glammedia	235681100	games-news.de	826773647	71374	16779	21235	3665
glammedia	235681100	fashion-insider.de	830234671	9437	5705	6714	2744
ASMI	1569905102	red-carpet.de	857250161	28605	16122	19038	8016
OMS	1615459509	mein38.de	883629688	8877	3430	4069	2164
adscale	1660240041	adscale_video	909564204	3831367	2115677	2579133	1100556
Unister	2020431744	news.de/unister	1012159651	717	244	309	105
iqdigital	223088769	vdi-nachrichten.de	1077711844	161960	50874	66855	21797
Hi-Media	2000907398	ntv-tennis.de	1084080009	593	273	367	174
OMS	1615459509	donaukurier.de	1085681688	177753	25315	35376	9483
OMS	1615459509	aachener-nachrichten.de	1087128184	254163	58985	81193	17780
iqdigital	223088769	handelsblatt.com	1107525252	6669394	1633627	2135869	594159
RMSI	498868272	blickpunkt-suedamerika.com	1111070355	240908	24297	41208	1204
ENED_Newsphone	451122559	vrisko.gr	1188683426	1752520	192158	400215	265598
freeXmedia	1516487384	spieleradar.de	1203769915	174001	63556	87504	43809
webads.it	1609693476	autoscout24.it	1343393415	28143761	3297200	4125220	521695
HTTPool_SR	974965399	politika.rs	1352389434	666938	103674	182584	71885
ARBOmedia_PL	651342010	Memgenerator.pl	1445761341	61978	13478	19824	10691
SevenOne Media MAGIC (3rd party Video)	842055044	bildderfrau.de_SevenoneVIDEO	1453262695	709	333	452	227
Horyzon	2115894781	rfi.fr	1460284672	110749	37533	47919	18586
LPM_LeFigaro	627225677	LPM_LeFigaro_lachainemeteo	1469856272	1608773	391573	550692	196967
Goldbach Media	177654511	playit.ch	1482194002	9	0	1	1
SevenOne Media	1272195681	songtexte.com	1528689188	965144	199734	319564	178300
HTTPool_BG	1782510139	travelblog.bg	1536098494	1922	283	385	214
BauerMediaKG	626259911	intouch.wunderweib.de	1547478634	3397995	1207074	1494201	440302
Goldbach Audience	2137767787	wetter.tv	1612776718	89186	9549	15613	4221
glammedia	235681100	clubfans-united.de	1614389711	14015	3889	5056	983
Berlingske_Improve.dk	337095757	improve.berlingske.dk	1648368560	14332974	4862250	5695425	721853
Numbate	1827486200	vulgaris-medical/numbate	1672641019	8	4	5	3
beead	104260390	dollandthecity	1689361609	216	40	74	38
stroeer_digital_media	571289945	speedreport.de	1704429820	20810	6670	10570	3984
Berlingske.dk	706025601	dagbladet-holstebro-struer.dk	1730355588	67199	29250	34398	8413
IGN	1381851871	askmen.com	1737935138	4196551	1298625	1647488	114249
ARBOmedia_RO	940807539	badpolitics.ro	1739145174	3003	1809	2181	1223
HTTPool_BG	1782510139	creditland.bg	1740093886	3145	757	1254	819
JP.dk	160495700	jp.dk	1768921527	5950095	1739907	2100903	328265
ARBOmedia_CZ	1534363118	kinobox.cz	1800515537	533101	62553	119305	46225
ENED_Attica_mobile	2111071951	yupiii.gr	1805790162	209661	11215	26083	16831
LPM_Lagardere	2039924353	LPM_Lagardere_parismatch	1812541924	2254377	910649	1080237	315965
ENED_Capital	2008089533	capital.gr.msn.com	1817105408	52774	19695	26026	16964
stroeer_digital_media	571289945	autoanzeigen.de	1831333692	2909	648	890	176
HTTPool_SI	1826838282	podnapisi.net	1835674509	401288	22607	52591	19670
Media Group One	973144413	Frauen	1894555680	14343293	2635027	3511194	1147819
DK-BEI_CONTAINER	896712678	BEI-ibckurser.dk	1923798153	6573	1660	2212	607
LPM_Amaury	1218387167	LPM_Amaury_lequipe21	1942867810	147186	47108	69330	27344
glammedia	235681100	dasheimwerkerforum.de	1958425007	32967	17351	23169	11443
HTTPool_AUT	1403101264	viennahighlights.com	1986826419	664	148	238	75
OMS	1615459509	wiesbadener-kurier.de	1997311512	241931	59235	82811	23998
Smartclip	35854137	rautemusik/smartclip	2009757244	32400	5877	11385	6030
RMSI	498868272	radioessen.de	2012018771	76747	17836	26008	8101
SevenOne Media MAGIC (3rd party Video)	842055044	comedy-videovalis.tv	2026976263	28959	2139	11964	7634
SevenOne Media	1272195681	bundesliga.de	2029263140	3295890	468344	861109	321085
ARBOmedia_PL	651342010	kobieta.dlastudenta.pl	2031133437	31599	13765	16655	11164
LPM_FranceTV	1003426551	LPM_FranceTV_france5	2039603482	1924531	675232	897673	315450
beead	104260390	stephyprod	2073501801	4965	1089	1808	802
BEI_container_Post	1253937408	roseversand-fahrraeder.de	2135484995	117640	27135	39023	9314
Goldbach Audience	2137767787	ronorp.net	38114841	322842	133754	150589	19436
24media	832047503	redplanet.gr	47360797	1611595	119732	197769	62972
Advideum	200472159	Advideum-network	51453005	15282340	4338591	6840997	3167529
IP-Deutschland	2059506885	zaga.de	93709555	255286	28427	54595	20732
stroeer_digital_media	571289945	babyclub.de	98981575	355137	108675	135703	43473
stroeer_digital_media	571289945	router-forum.de	112385671	35169	19001	23428	9918
freeXmedia	1516487384	usp-forum.de	140489318	111483	59043	74015	31811
glammedia	235681100	appdamit.de	152132826	15867	8617	10950	4296
HTTPool_RO	651835008	femina.rol.ro	206708718	224188	39144	75154	28112
glammedia	235681100	journelles.com	220422330	869	409	513	111
ARBOmedia_PL	651342010	Opracodawcach.pl	246531304	1824	468	722	455
OMS	1615459509	zeitungen.boyens-medien.de	253267267	36040	8719	12582	4508
ARBOmedia_PL	651342010	wybrzeze.com.pl	266141256	2213	946	1448	607
OMS	1615459509	hellwegeranzeiger.de	341952483	107607	12661	22774	4956
LPM_LaNouvelleRepublique	2077908695	LPM_LaNouvelleRepublique_centrepresse	349170469	100614	30218	40081	17252
glammedia	235681100	gossip247.de	375722650	49	39	42	25
Hi-Media	2000907398	game-change.de	410100980	1	1	1	1
stroeer_digital_media	571289945	myspass.de	432716711	525398	166394	224606	77317
RMSI	498868272	radioerzgebirge.de	490391902	2535	635	999	457
glammedia	235681100	waeiskiani.com	495014490	3980	2155	2415	303
RMSI	498868272	radiokw.de	558549886	24157	4965	7739	2607
BauerMediaKG	626259911	wohnidee.wunderweib.de	568721045	162750	60009	79043	28526
OMS	1615459509	leipzig-live.com	579318947	8991	1656	2271	574
ENED_Naftemporiki	1400476319	pestaola.gr	590440205	90872	20338	30253	15797
LPM_GMC	1997387604	LPM_GMC_cosmopolitan	604136450	1371140	381617	576615	223049
ARBOmedia_RO	940807539	divahair.ro	652379873	7	7	7	4
ENED_Attica_mobile	2111071951	madamefigaro.gr	655156125	16194	1453	3240	1751
beead	104260390	1001-citations.com	655407060	18118	5163	7032	2693
ARBOmedia_PL	651342010	gry-dla-dzieci.pl	674205544	6143	1130	1934	1449
RMSI	498868272	917xfm.de	729559966	5612	2447	3329	1106
OMS	1615459509	fnweb.de	734989763	120964	32322	43992	14286
SevenOne Media	1272195681	wer-weiss-was.de	739148143	706916	508636	587391	347338
BEI_container_fr	671344375	ING-LEO2-preouverture	741614373	6400	3659	4716	2224
Hi-Media	2000907398	energy.de	779725844	197459	53913	85614	36269
N24.se	1403231093	modegallerian.se	795587459	75881	28613	34066	4778
medienhaus.com	435938190	laendlejob.at	804652668	238837	38981	50240	9828
OMS	1615459509	badische-zeitung.de	806285923	2477130	463145	665968	180775
glammedia	235681100	sparpanda.de	824313818	5	5	5	1
OMS mobile	2119689184	trainer.pz-news.de	835046766	205	13	34	21
LPM_GroupeSO	560138712	LPM_GroupeSO_midilibre	843067718	4794393	994714	1282276	344211
beead	104260390	laminutedemelanie	856868564	6878	2642	3762	1603
OMS mobile	2119689184	swp.de	888063470	208421	46219	74315	49562
24media	832047503	oneman.gr	908751389	778869	218342	313455	158520
SevenOne Media	1272195681	lokalisten.de	944294991	3189011	172934	216962	22132
ARBOmedia_PL	651342010	blogasek.pl	954616520	4298	3303	3640	957
glammedia	235681100	zelluloid.de	978355354	4	2	3	2
Goldbach Audience	2137767787	netlog.com/de	984132281	986858	73861	84346	6462
MSN	2072193066	msn_partnernetwork	1007786648	94700	62450	74956	52091
OMS	1615459509	all-in.de	1068065539	562259	106231	150776	41431
beead	104260390	basket-infos	1069417204	160973	43386	58247	21989
Hi-Media	2000907398	hiphop.de	1079468340	461707	180323	219172	56485
Krone.at	1129772991	sendung/haustiere	1092204173	40270	14273	19231	12096
HTTPool_SR	974965399	vreme.com	1130141125	140393	40552	55622	26220
Jubii.dk	224986932	dindebat.dk	1140856546	1208266	553494	596056	110319
glammedia	235681100	literaturnetz.com	1164755386	978	550	662	303
Hi-Media/Video	1365112729	filmstarts.de/himediavideo	1201740391	57497	33147	37002	4708
glammedia	235681100	mein-lesetipp.de	1269579354	7661	2724	3787	1947
OMS	1615459509	helau.de	1293069059	5410	2455	3220	1558
SevenOne Media	1272195681	sat1.de	1340051439	3896491	471585	816961	325158
iq_digital_mobile	480104072	m.faz.net	1364201110	2990437	381257	649857	382761
AA_Pneuhage_mobile	1999148508	pneuhage-shop.de/AA	1393400394	1684	67	258	108
HTTPool_BG	1782510139	manager.bg	1436725417	406343	157016	208937	115894
ENED_Star	1167367050	star.gr-tv	1449975864	332158	31664	77409	51625
smartclip_italy	1471916694	tuttosport.it	1476416004	132178	64987	86913	41485
beead	104260390	radar-feu	1552042836	75061	13232	27022	12167
ARBOmedia_RO	940807539	romturism.ro	1579081953	977	426	578	313
HTTPool_AUT	1403101264	automagazin.at	1579118110	1	1	1	1
adselect	567149294	clipSolution	1587076252	1760	973	1204	408
LPM_Amaury	1218387167	LPM_Amaury_leparisien	1631181581	14871326	2964584	3972603	1232257
glammedia	235681100	lesmads.de	1650411770	97453	41316	46769	7422
Smartclip	35854137	contentone/smartclip	1670155143	134166	4097	8837	1943
ARBOmedia_PL	651342010	Lotniska.info	1687068840	33644	1060	2329	1343
smartclip_italy	1471916694	earthtv.it	1698989412	1360	311	497	188
ASMI	1569905102	WELT_MOBIL	1712169372	3664596	831651	1326135	804368
Omnimedia	1629972935	immoscout24.ch/fr	1779008565	388856	112806	135854	20348
UMM	1576777680	tagesspiegel.de	1814715390	2638780	1067910	1301932	481567
pixelpark performance	977889954	bei-easycredit.de	1835898448	113575	28165	45274	16248
glammedia	235681100	maclife.de	1860489082	12	12	12	2
OMS mobile	2119689184	wn.de	1921259054	1	1	1	0
Goldbach Audience	2137767787	friendscout24.ch/fr	1929565881	36986	6808	7336	247
ARBOmedia_PL	651342010	franchising.pl	1937460936	137875	19697	30072	15603
Informedia_Hu	2088469162	haziallat.hu	1952844440	120061	41257	58060	18585
Smartclip	35854137	hamburg1/smartclip	1979410471	5817	3383	4218	2461
glammedia	235681100	mmorpg-dating.de	1982990650	951	599	716	468
ARBOmedia_PL	651342010	pomper.pl	1990657608	299713	30788	58693	38132
RMSI	498868272	nordamerikajournal.com/oms	2005881694	60463	12747	17261	978
HTTPool_SR	974965399	autoportal.rs	2019922661	3	3	3	3
ARBOmedia_RO	940807539	foto-magazin.ro	2023992065	3984	710	1332	948
HTTPool_RO	651835008	besttourism.ro	2032481678	21544	5	4341	2
ARBOmedia_PL	651342010	recplay.pl	2036629992	571	388	447	142
stroeer_digital_media	571289945	xn--heizl-mua.de	2041509671	1149	182	369	145
SevenOne Media	1272195681	kabeleins.de	2045556047	604665	94133	168765	75705
Goldbach Audience	2137767787	teletext.ch/fr	2110032505	1189322	219328	251531	17069
ARBOmedia_PL	651342010	findict.pl	2115188392	34670	13696	18514	13059
HTTPool_BG	1782510139	f1racing.bg	2123013993	751	298	426	257
OMS mobile	2119689184	wormser-zeitung.de	70692767	39014	7424	12842	7757
Hi-Media	2000907398	filmstarts.de	70988293	3156883	862303	1139602	423556
Hi-Media	2000907398	jappy.de	101041189	3553616	219930	486352	149519
ENED_NOA	436419238	meteo.gr	103579909	3150095	222569	722771	446152
Goldbach Audience	2137767787	planetesante.ch/fr	119520138	68457	43674	51063	23060
OMS	1615459509	volksstimme.de	144811348	608074	136436	193565	72193
Goldbach Audience	2137767787	exlibris.ch/fr	207697770	10571	3857	5008	1712
OMS mobile	2119689184	aachener-zeitung.de	250938751	91911	20666	31636	20459
DK-BEI_CONTAINER	896712678	BEI-Apollo.no	258423141	19	19	19	15
ARBOmedia_PL	651342010	Wgry.pl	292219417	11111	2057	3676	2225
Goldbach Media	177654511	nick.ch	391098062	78	40	50	35
OMS	1615459509	allgemeine-zeitung.de	412589652	557640	130902	181754	57116
OMS	1615459509	wlz-fz.de	416769780	57061	19412	26861	10606
glammedia	235681100	weddix.de	419333643	208280	64405	84972	26465
BauerMediaKG	626259911	tvmovie.de	438624870	3465210	917577	1253169	324251
glammedia	235681100	zuhloo.de	460076939	870	485	582	220
smartclip_italy	1471916694	spilgames.it.pf	461844533	5320840	348883	869760	394818
Hi-Media	2000907398	horoskop-online.com	488368005	8771	2562	3836	1398
OMS	1615459509	hersfelder-zeitung.de	496477300	54622	7916	14104	3990
stroeer_digital_media	571289945	fussballdaten.de	520847736	770360	154763	220243	78419
Informedia_Hu	2088469162	borsodjobs.hu	526608201	15591	1863	3496	1544
Hi-Media	2000907398	intro.de	532064229	29185	11633	14591	6270
Goldbach Audience	2137767787	waskochen.ch	556588970	7297	4945	5595	1859
glammedia	235681100	gedicht-und-spruch.de	572977419	100723	40633	58627	30846
IP-Deutschland	2059506885	rtl2now.rtl2.de	677304004	6465646	629183	1017243	292413
freeXmedia	1516487384	aerokurier.de	716787351	260	135	166	56
glammedia	235681100	glueckwunsch-hochzeit-sprueche.de	718300683	2172	604	972	504
Smartclip	35854137	denhlpf/smartclip	799202168	11643	4389	6028	2966
OMS mobile	2119689184	wiesbadener-tagblatt.de	849977887	14119	5531	7353	3794
RMSI	498868272	radiowuppertal.de	854223183	53131	6371	12096	3880
ARBOmedia_RO	940807539	filebox.ro	867983570	1094	419	549	195
OMS	1615459509	mv-online.de	992510196	148683	38373	52320	14965
IDMnet_PL	1062038902	ppr.pl	1122865269	4	4	4	4
stroeer_digital_media	571289945	deesworld.de	1127045560	43	29	35	20
ARBOmedia_PL	651342010	finanse-publiczne.pl	1169824601	11	0	2	2
Smartclip	35854137	DE_Adstract/smartclip	1181335544	4983044	582137	1558329	921808
LPM_TF1	731239640	LPM_TF1_wat	1181873879	3920189	1455218	1958794	625668
Horyzon	2115894781	prixdunet.com	1218201116	13848	3851	5353	2776
BeeAd_Italy	2139309186	BeeAd_Italy_MeasurementOnly_Everywhere	1263525185	36776383	10736879	15129474	4660521
stroeer_digital_media	571289945	auto24.de	1343815704	155707	44609	57995	12943
stroeer_digital_media	571289945	airport-nuernberg.de/si	1381114712	100775	26636	37452	9509
SevenOne Media mobile	126188777	bigpoint.com	1392629928	4712	706	1419	962
ARBOmedia_PL	651342010	niepowazna.pl	1404261177	57920	7258	12905	8580
JP.dk	160495700	epn.dk	1410741203	1624321	527144	694657	221831
glammedia	235681100	usa-kulinarisch.de	1413644139	111135	48353	57727	18205
ARBOmedia_PL	651342010	Gofin.pl	1438747161	2372839	218675	481141	314324
beead	104260390	madstef	1498992677	39636	9218	14202	6258
glammedia	235681100	abenteuer-hochzeit.de	1499534571	472	71	110	44
ARBOmedia_RO	940807539	ziare-reviste.ro	1549095378	8792	1422	2592	1268
RMSI	498868272	charivari.com	1575675087	12698	3305	4817	1985
stroeer_digital_media	571289945	wunschliste.de	1606634168	2145	1036	1366	626
ARBOmedia_PL	651342010	ulub.pl	1680943033	18054900	425400	1274821	763031
Hi-Media	2000907398	de.gameonly.com	1714156293	48	12	14	12
Unister	2020431744	myimmo.de	1807194175	138043	42279	62302	32296
HTTPool_AUT	1403101264	gastrojobs.com	1816254543	303	182	225	105
AbcStartsiden_NO	1974373083	abcnyheter.no	1830539162	10677279	2006530	2609416	461864
freeXmedia	1516487384	globetrottertv.de	1838998743	185551	7427	15984	3715
DK-BEI_CONTAINER	896712678	BEI-dispuk.dk	1863755749	2974	1146	1426	347
glammedia	235681100	sophia-eats.blogspot.de	1868571755	19	2	3	1
Hi-Media/Video	1365112729	sonymusic.network/himediavideo	1875582136	1222	377	616	370
OMS	1615459509	muensterschezeitung.de	1907408916	170377	53529	73945	23434
ARBOmedia_PL	651342010	xkey.pl	1918575673	1603	275	730	95
ARBOmedia_PL	651342010	clik24.pl	1930373401	397	240	270	76
stroeer_digital_media	571289945	5vorflug.de	1931112568	34004	20108	23394	12953
Unister	2020431744	ab-in-den-urlaub.de	1934833759	7546388	1400635	1981674	565352
Jubii.dk	224986932	proinvestor.dk	1948271923	38268	13010	15594	3377
stroeer_digital_media	571289945	hamburg-airport.de	1969167768	329241	100855	138418	36129
Smartclip	35854137	App_spielen.de/smartclip	1973299608	37933	13285	19193	9780
OMS mobile	2119689184	nw-news.de	2009372191	318384	47990	84734	49082
RMSI	498868272	radiomuelheim.de	2115291119	7695	2592	3440	1102
N24.se	1403231093	svartgul.se	2139079924	101532	40878	45318	3871
Omnimedia	1629972935	jobscout24.ch/de	293651	920302	176410	237575	50574
SevenOne Media	1272195681	ampya.com	6837997	122578	23906	37727	22925
OMS	1615459509	wolfsburger-nachrichten.de	16181281	100820	25644	35228	11070
OMS mobile	2119689184	pz-news.de	29288300	68404	5566	13100	8126
ARBOmedia_PL	651342010	bezposrednie.com	35113126	15998	2508	4008	1858
HTTPool_BG	1782510139	zdravnitza.com	38119975	176177	56521	83783	54538
OMS	1615459509	morgenweb.de	67688769	632262	154996	215351	69514
ENED_Phaistos Networks	682513718	pathfinder.gr	95115650	1093601	92237	180050	100653
RMSI	498868272	classical102.de	112386684	417	173	230	40
ARBOmedia_PL	651342010	arslege.pl	119943878	70245	14814	22684	14893
TripleDoubleU	1704466471	online-translator.com	194183027	40	5	7	5
glammedia	235681100	piecesofmariposa.com	229630392	1452	777	926	183
N24.se	1403231093	matklubben.se	295814849	518314	214298	263035	44384
glammedia	235681100	addictedtofashion.net	333833720	45041	20774	23061	2396
ARBOmedia_PL	651342010	scenka.pl	345188934	465	170	291	41
freeXmedia	1516487384	motorsport-aktuell.com	367455044	26924	9207	13330	4567
LPM_Mondadori	1043954762	LPM_Mondadori_Sportauto	379678454	86900	34091	43853	13009
glammedia	235681100	fruchtbare-tage.com	388093656	205820	67141	86178	22143
TripleDoubleU	1704466471	deutsches-architektur-forum.de	392168851	19	4	7	4
ASMI	1569905102	morgenpost.de	424582714	1133216	393699	513317	212374
